No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
0    00:14.348      00:14.371      00:37.731      23.360                Paused by player, Unpause by changed look direction
1    00:31.000      00:54.056      00:56.527      2.471                 Paused by player, Unpause by player / changed option
0    00:49.950      01:15.485      01:19.198      3.713                 Paused by player, Unpause by rendered
1    02:03.587      02:32.866      02:41.040      8.174      8.174      Paused by player, Unpause by player
0    02:06.837      02:44.280      23:41.865      1257.585              Paused by player, Unpause by rendered
1    02:54.995      24:29.901      24:30.210      0.309      0.309      Paused by player, Unpause by player
2    02:57.095      24:32.276      25:09.105      36.829     36.829     Paused by player, Unpause by player
3    03:01.495      25:13.489      25:20.755      7.266      7.266      Paused by player, Unpause by player
4    03:02.195      25:21.435      25:24.776      3.341      3.341      Paused by player, Unpause by player
5    03:02.695      25:25.263      25:27.058      1.795      1.795      Paused by player, Unpause by player
6    03:03.045      25:27.410      25:27.936      0.526      0.526      Paused by player, Unpause by player
7    03:03.495      25:28.360      25:29.326      0.966      0.966      Paused by player, Unpause by player
8    03:05.295      25:31.140      25:31.790      0.650      0.650      Paused by player, Unpause by player
9    03:05.845      25:32.348      25:33.038      0.690      0.690      Paused by player, Unpause by player
10   03:11.445      25:38.608      25:39.579      0.971      0.971      Paused by player, Unpause by player
11   03:11.995      25:40.115      25:41.018      0.903      0.903      Paused by player, Unpause by player
12   03:13.395      25:42.405      25:43.627      1.222      1.222      Paused by player, Unpause by player
13   03:14.845      25:45.046      25:49.419      4.373      4.373      Paused by player, Unpause by player
14   03:17.295      25:51.866      25:57.219      5.353      5.353      Paused by player, Unpause by player
15   03:27.345      26:07.267      26:08.910      1.643      1.643      Paused by player, Unpause by player
16   03:27.795      26:09.354      26:10.071      0.717      0.717      Paused by player, Unpause by player
17   03:30.095      26:12.347      26:14.871      2.524      2.524      Paused by player, Unpause by player
18   05:16.095      28:00.824      28:04.528      3.704      3.704      Paused by player, Unpause by player
19   05:36.095      28:24.540      28:27.212      2.672      2.672      Paused by player, Unpause by player
20   05:36.295      28:27.414      28:27.855      0.441      0.441      Paused by player, Unpause by player
21   06:50.445      29:41.996      29:44.120      2.124      2.124      Paused by player, Unpause by player
22   06:51.795      29:45.443      29:55.405      9.962      9.962      Paused by player, Unpause by player
23   10:26.045      33:29.676      39:31.274      361.598    361.598    Paused by player, Unpause by player
24   11:40.945      40:46.174      40:51.519      5.345      5.345      Paused by player, Unpause by player
25   11:54.245      41:04.812      41:10.920      6.108      6.108      Paused by player, Unpause by player
26   13:37.495      42:54.161      43:14.560      20.399     20.399     Paused by player, Unpause by player
27   13:37.745      43:14.811      43:15.231      0.420      0.420      Paused by player, Unpause by player
28   14:08.895      43:46.350      43:55.753      9.403      9.403      Paused by player, Unpause by player
29   14:13.595      44:00.425      44:00.943      0.518      0.518      Paused by player, Unpause by player
30   14:18.595      44:05.941      44:13.896      7.955      7.955      Paused by player, Unpause by player
31   14:56.845      44:52.151      44:58.270      6.119      6.119      Paused by player, Unpause by player
32   14:58.195      44:59.595      45:11.831      12.236     12.236     Paused by player, Unpause by player
33   15:02.795      45:16.430      45:19.977      3.547      3.547      Paused by player, Unpause by player
34   15:28.195      45:45.383      45:48.804      3.421      3.421      Paused by player, Unpause by player
35   15:48.895      46:09.476      46:10.589      1.113      1.113      Paused by player, Unpause by player
36   15:49.395      46:11.053      46:12.288      1.235      1.235      Paused by player, Unpause by player
37   16:11.245      46:34.142      46:35.878      1.736      1.736      Paused by player, Unpause by player
38   16:13.345      46:37.950      46:42.869      4.919      4.919      Paused by player, Unpause by player
39   17:21.745      47:51.268      48:02.010      10.742     10.742     Paused by player, Unpause by player
40   17:22.345      48:02.566      48:15.380      12.814     12.814     Paused by player, Unpause by player
41   23:23.345      54:16.376      54:17.961      1.585      1.585      Paused by player, Unpause by player
42   23:26.995      54:21.570      54:41.833      20.263     20.263     Paused by player, Unpause by player
